data;produto;turno;quantidade_vendida;categoria;preco_unitario
2023-01-04;prato_vegetariano;almoco;24;prato_principal;28.0
2023-01-04;prato_vegetariano;jantar;10;prato_principal;28.0
2023-01-04;prato_vegetariano;cafe_manha;19;prato_principal;28.0
2023-01-05;prato_executivo;almoco;51;prato_principal;35.9
2023-01-05;prato_executivo;cafe_manha;50;prato_principal;35.9
2023-01-05;salada_caesar;almoco;10;entrada;18.5
2023-01-05;salada_caesar;jantar;14;entrada;18.5
2023-01-05;salada_caesar;cafe_manha;20;entrada;18.5
2023-01-05;frango_grelhado;almoco;38;prato_principal;32.0
2023-01-05;frango_grelhado;cafe_manha;23;prato_principal;32.0
2023-01-05;suco_laranja;almoco;83;bebida;8.0
2023-01-05;suco_laranja;jantar;49;bebida;8.0
2023-01-05;suco_laranja;cafe_manha;52;bebida;8.0
2023-01-05;sobremesa_dia;almoco;26;sobremesa;12.0
2023-01-05;sobremesa_dia;jantar;18;sobremesa;12.0
2023-01-05;sobremesa_dia;cafe_manha;26;sobremesa;12.0
2023-01-05;prato_vegetariano;jantar;19;prato_principal;28.0
2023-01-05;prato_vegetariano;cafe_manha;18;prato_principal;28.0
2023-01-06;prato_executivo;almoco;61;prato_principal;35.9
2023-01-06;prato_executivo;jantar;60;prato_principal;35.9
2023-01-06;prato_executivo;cafe_manha;54;prato_principal;35.9
2023-01-06;salada_caesar;almoco;22;entrada;18.5
2023-01-06;salada_caesar;jantar;15;entrada;18.5
2023-01-06;salada_caesar;cafe_manha;11;entrada;18.5
2023-01-06;frango_grelhado;almoco;41;prato_principal;32.0
2023-01-06;frango_grelhado;jantar;42;prato_principal;32.0
2023-01-06;frango_grelhado;cafe_manha;32;prato_principal;32.0
2023-01-06;suco_laranja;almoco;85;bebida;8.0
2023-01-06;suco_laranja;cafe_manha;80;bebida;8.0
2023-01-06;sobremesa_dia;almoco;30;sobremesa;12.0
2023-01-06;sobremesa_dia;jantar;27;sobremesa;12.0
2023-01-06;sobremesa_dia;cafe_manha;26;sobremesa;12.0
2023-01-06;prato_vegetariano;almoco;17;prato_principal;28.0
2023-01-06;prato_vegetariano;jantar;28;prato_principal;28.0
2023-01-06;prato_vegetariano;cafe_manha;18;prato_principal;28.0
2023-01-07;prato_executivo;almoco;37;prato_principal;35.9
2023-01-07;prato_executivo;jantar;51;prato_principal;35.9
2023-01-07;prato_executivo;cafe_manha;43;prato_principal;35.9
2023-01-07;salada_caesar;almoco;10;entrada;18.5
2023-01-07;salada_caesar;jantar;16;entrada;18.5
2023-01-07;salada_caesar;cafe_manha;4;entrada;18.5
2023-01-07;frango_grelhado;almoco;23;prato_principal;32.0
2023-01-07;frango_grelhado;jantar;60;prato_principal;32.0
2023-01-07;frango_grelhado;cafe_manha;31;prato_principal;32.0
2023-01-07;suco_laranja;almoco;31;bebida;8.0
2023-01-07;suco_laranja;jantar;86;bebida;8.0
2023-01-07;suco_laranja;cafe_manha;48;bebida;8.0
2023-01-07;sobremesa_dia;almoco;20;sobremesa;12.0
2023-01-07;sobremesa_dia;jantar;40;sobremesa;12.0
2023-01-07;sobremesa_dia;cafe_manha;18;sobremesa;12.0
2023-01-07;prato_vegetariano;almoco;12;prato_principal;28.0
2023-01-07;prato_vegetariano;jantar;26;prato_principal;28.0
2023-01-07;prato_vegetariano;cafe_manha;17;prato_principal;28.0
2023-01-08;prato_executivo;almoco;26;prato_principal;35.9
2023-01-08;prato_executivo;jantar;37;prato_principal;35.9
2023-01-08;prato_executivo;cafe_manha;25;prato_principal;35.9
2023-01-08;salada_caesar;almoco;6;entrada;18.5
2023-01-08;salada_caesar;jantar;12;entrada;18.5
2023-01-08;frango_grelhado;almoco;18;prato_principal;32.0
2023-01-08;frango_grelhado;cafe_manha;19;prato_principal;32.0
2023-01-08;suco_laranja;almoco;30;bebida;8.0
2023-01-08;suco_laranja;jantar;37;bebida;8.0
2023-01-08;suco_laranja;cafe_manha;45;bebida;8.0
2023-01-08;sobremesa_dia;almoco;10;sobremesa;12.0
2023-01-08;sobremesa_dia;jantar;10;sobremesa;12.0
2023-01-08;sobremesa_dia;cafe_manha;8;sobremesa;12.0
2023-01-08;prato_vegetariano;almoco;8;prato_principal;28.0
2023-01-08;prato_vegetariano;jantar;3;prato_principal;28.0
2023-01-08;prato_vegetariano;cafe_manha;9;prato_principal;28.0
2023-01-09;prato_executivo;almoco;45;prato_principal;35.9
2023-01-09;prato_executivo;jantar;37;prato_principal;35.9
2023-01-09;prato_executivo;cafe_manha;48;prato_principal;35.9
2023-01-09;salada_caesar;almoco;5;entrada;18.5
2023-01-09;salada_caesar;jantar;9;entrada;18.5
2023-01-09;salada_caesar;cafe_manha;11;entrada;18.5
2023-01-09;frango_grelhado;almoco;30;prato_principal;32.0
2023-01-09;frango_grelhado;cafe_manha;25;prato_principal;32.0
2023-01-09;suco_laranja;almoco;51;bebida;8.0
2023-01-09;suco_laranja;jantar;53;bebida;8.0
2023-01-09;suco_laranja;cafe_manha;43;bebida;8.0
2023-01-09;sobremesa_dia;almoco;24;sobremesa;12.0
2023-01-09;sobremesa_dia;jantar;14;sobremesa;12.0
2023-01-09;sobremesa_dia;cafe_manha;19;sobremesa;12.0
2023-01-09;prato_vegetariano;almoco;20;prato_principal;28.0
2023-01-09;prato_vegetariano;jantar;10;prato_principal;28.0
2023-01-09;prato_vegetariano;cafe_manha;12;prato_principal;28.0
2023-01-10;prato_executivo;almoco;66;prato_principal;35.9
2023-01-10;prato_executivo;jantar;40;prato_principal;35.9
2023-01-10;prato_executivo;cafe_manha;44;prato_principal;35.9
2023-01-10;salada_caesar;almoco;19;entrada;18.5
2023-01-10;salada_caesar;jantar;12;entrada;18.5
2023-01-10;salada_caesar;cafe_manha;15;entrada;18.5
2023-01-10;frango_grelhado;almoco;36;prato_principal;32.0
2023-01-10;frango_grelhado;jantar;20;prato_principal;32.0
2023-01-10;frango_grelhado;cafe_manha;32;prato_principal;32.0
2023-01-10;suco_laranja;almoco;75;bebida;8.0
2023-01-10;suco_laranja;jantar;46;bebida;8.0
2023-01-10;suco_laranja;cafe_manha;57;bebida;8.0
2023-01-10;sobremesa_dia;almoco;27;sobremesa;12.0
2023-01-10;sobremesa_dia;jantar;18;sobremesa;12.0
2023-01-10;sobremesa_dia;cafe_manha;33;sobremesa;12.0
2023-01-10;prato_vegetariano;almoco;31;prato_principal;28.0
2023-01-10;prato_vegetariano;jantar;20;prato_principal;28.0
2023-01-10;prato_vegetariano;cafe_manha;13;prato_principal;28.0
2023-01-11;prato_executivo;almoco;43;prato_principal;35.9
2023-01-11;prato_executivo;jantar;45;prato_principal;35.9
2023-01-11;prato_executivo;cafe_manha;55;prato_principal;35.9
2023-01-11;salada_caesar;almoco;13;entrada;18.5
2023-01-11;salada_caesar;jantar;9;entrada;18.5
2023-01-11;salada_caesar;cafe_manha;11;entrada;18.5
2023-01-11;frango_grelhado;almoco;36;prato_principal;32.0
2023-01-11;frango_grelhado;jantar;30;prato_principal;32.0
2023-01-11;frango_grelhado;cafe_manha;36;prato_principal;32.0
2023-01-11;suco_laranja;almoco;80;bebida;8.0
2023-01-11;suco_laranja;jantar;51;bebida;8.0
2023-01-11;suco_laranja;cafe_manha;58;bebida;8.0
2023-01-11;sobremesa_dia;almoco;28;sobremesa;12.0
2023-01-11;sobremesa_dia;jantar;23;sobremesa;12.0
2023-01-11;sobremesa_dia;cafe_manha;24;sobremesa;12.0
2023-01-11;prato_vegetariano;almoco;23;prato_principal;28.0
2023-01-11;prato_vegetariano;jantar;15;prato_principal;28.0
2023-01-11;prato_vegetariano;cafe_manha;20;prato_principal;28.0
2023-01-12;prato_executivo;almoco;72;prato_principal;35.9
2023-01-12;prato_executivo;cafe_manha;48;prato_principal;35.9
2023-01-12;salada_caesar;almoco;17;entrada;18.5
2023-01-12;salada_caesar;jantar;13;entrada;18.5
2023-01-12;salada_caesar;cafe_manha;12;entrada;18.5
2023-01-12;frango_grelhado;almoco;44;prato_principal;32.0
2023-01-12;frango_grelhado;jantar;38;prato_principal;32.0
2023-01-12;frango_grelhado;cafe_manha;29;prato_principal;32.0
2023-01-12;suco_laranja;almoco;83;bebida;8.0
2023-01-12;suco_laranja;jantar;59;bebida;8.0
2023-01-12;suco_laranja;cafe_manha;58;bebida;8.0
2023-01-12;sobremesa_dia;almoco;24;sobremesa;12.0
2023-01-12;sobremesa_dia;jantar;15;sobremesa;12.0
2023-01-12;sobremesa_dia;cafe_manha;19;sobremesa;12.0
2023-01-12;prato_vegetariano;jantar;21;prato_principal;28.0
2023-01-12;prato_vegetariano;cafe_manha;13;prato_principal;28.0
2023-01-13;prato_executivo;almoco;67;prato_principal;35.9
2023-01-13;prato_executivo;jantar;62;prato_principal;35.9
2023-01-13;prato_executivo;cafe_manha;44;prato_principal;35.9
2023-01-13;salada_caesar;almoco;18;entrada;18.5
2023-01-13;salada_caesar;jantar;18;entrada;18.5
2023-01-13;salada_caesar;cafe_manha;12;entrada;18.5
2023-01-13;frango_grelhado;almoco;57;prato_principal;32.0
2023-01-13;frango_grelhado;cafe_manha;27;prato_principal;32.0
2023-01-13;suco_laranja;jantar;79;bebida;8.0
2023-01-13;suco_laranja;cafe_manha;72;bebida;8.0
2023-01-13;sobremesa_dia;almoco;24;sobremesa;12.0
2023-01-13;sobremesa_dia;jantar;37;sobremesa;12.0
2023-01-13;sobremesa_dia;cafe_manha;18;sobremesa;12.0
2023-01-13;prato_vegetariano;almoco;21;prato_principal;28.0
2023-01-13;prato_vegetariano;jantar;29;prato_principal;28.0
2023-01-13;prato_vegetariano;cafe_manha;25;prato_principal;28.0
2023-01-14;prato_executivo;almoco;31;prato_principal;35.9
2023-01-14;prato_executivo;jantar;68;prato_principal;35.9
2023-01-14;prato_executivo;cafe_manha;36;prato_principal;35.9
2023-01-14;salada_caesar;almoco;8;entrada;18.5
2023-01-14;salada_caesar;jantar;19;entrada;18.5
2023-01-14;salada_caesar;cafe_manha;7;entrada;18.5
2023-01-14;frango_grelhado;almoco;18;prato_principal;32.0
2023-01-14;frango_grelhado;cafe_manha;31;prato_principal;32.0
2023-01-14;suco_laranja;almoco;47;bebida;8.0
2023-01-14;suco_laranja;jantar;85;bebida;8.0
2023-01-14;suco_laranja;cafe_manha;33;bebida;8.0
2023-01-14;sobremesa_dia;almoco;8;sobremesa;12.0
2023-01-14;sobremesa_dia;jantar;27;sobremesa;12.0
2023-01-14;sobremesa_dia;cafe_manha;19;sobremesa;12.0
2023-01-14;prato_vegetariano;almoco;13;prato_principal;28.0
2023-01-14;prato_vegetariano;jantar;30;prato_principal;28.0
2023-01-14;prato_vegetariano;cafe_manha;12;prato_principal;28.0
2023-01-15;prato_executivo;almoco;23;prato_principal;35.9
2023-01-15;prato_executivo;jantar;33;prato_principal;35.9
2023-01-15;prato_executivo;cafe_manha;37;prato_principal;35.9
2023-01-15;salada_caesar;almoco;8;entrada;18.5
2023-01-15;salada_caesar;jantar;11;entrada;18.5
2023-01-15;salada_caesar;cafe_manha;9;entrada;18.5
2023-01-15;frango_grelhado;almoco;15;prato_principal;32.0
2023-01-15;frango_grelhado;jantar;16;prato_principal;32.0
2023-01-15;frango_grelhado;cafe_manha;23;prato_principal;32.0
2023-01-15;suco_laranja;almoco;21;bebida;8.0
2023-01-15;suco_laranja;jantar;42;bebida;8.0
2023-01-15;suco_laranja;cafe_manha;44;bebida;8.0
2023-01-15;sobremesa_dia;jantar;17;sobremesa;12.0
2023-01-15;sobremesa_dia;cafe_manha;13;sobremesa;12.0
2023-01-15;prato_vegetariano;almoco;11;prato_principal;28.0
2023-01-15;prato_vegetariano;cafe_manha;12;prato_principal;28.0
2023-01-16;prato_executivo;almoco;62;prato_principal;35.9
2023-01-16;prato_executivo;jantar;36;prato_principal;35.9
2023-01-16;prato_executivo;cafe_manha;41;prato_principal;35.9
2023-01-16;salada_caesar;almoco;20;entrada;18.5
2023-01-16;salada_caesar;jantar;7;entrada;18.5
2023-01-16;salada_caesar;cafe_manha;10;entrada;18.5
2023-01-16;frango_grelhado;almoco;25;prato_principal;32.0
2023-01-16;frango_grelhado;jantar;20;prato_principal;32.0
2023-01-16;frango_grelhado;cafe_manha;29;prato_principal;32.0
2023-01-16;suco_laranja;almoco;57;bebida;8.0
2023-01-16;suco_laranja;jantar;57;bebida;8.0
2023-01-16;suco_laranja;cafe_manha;44;bebida;8.0
2023-01-16;sobremesa_dia;almoco;17;sobremesa;12.0
2023-01-16;sobremesa_dia;jantar;10;sobremesa;12.0
2023-01-16;sobremesa_dia;cafe_manha;19;sobremesa;12.0
2023-01-16;prato_vegetariano;almoco;23;prato_principal;28.0
2023-01-16;prato_vegetariano;jantar;16;prato_principal;28.0
2023-01-16;prato_vegetariano;cafe_manha;21;prato_principal;28.0
2023-01-17;prato_executivo;almoco;66;prato_principal;35.9
2023-01-17;prato_executivo;jantar;46;prato_principal;35.9
2023-01-17;prato_executivo;cafe_manha;52;prato_principal;35.9
2023-01-17;salada_caesar;almoco;20;entrada;18.5
2023-01-17;salada_caesar;jantar;7;entrada;18.5
2023-01-17;frango_grelhado;almoco;33;prato_principal;32.0
2023-01-17;frango_grelhado;jantar;30;prato_principal;32.0
2023-01-17;frango_grelhado;cafe_manha;32;prato_principal;32.0
2023-01-17;suco_laranja;almoco;82;bebida;8.0
2023-01-17;suco_laranja;jantar;53;bebida;8.0
2023-01-17;suco_laranja;cafe_manha;51;bebida;8.0
2023-01-17;sobremesa_dia;almoco;16;sobremesa;12.0
2023-01-17;sobremesa_dia;jantar;11;sobremesa;12.0
2023-01-17;sobremesa_dia;cafe_manha;22;sobremesa;12.0
2023-01-17;prato_vegetariano;almoco;26;prato_principal;28.0
2023-01-17;prato_vegetariano;jantar;15;prato_principal;28.0
2023-01-17;prato_vegetariano;cafe_manha;21;prato_principal;28.0
2023-01-18;prato_executivo;almoco;51;prato_principal;35.9
2023-01-18;prato_executivo;jantar;46;prato_principal;35.9
2023-01-18;prato_executivo;cafe_manha;51;prato_principal;35.9
2023-01-18;salada_caesar;almoco;22;entrada;18.5
2023-01-18;salada_caesar;jantar;18;entrada;18.5
2023-01-18;salada_caesar;cafe_manha;11;entrada;18.5
2023-01-18;frango_grelhado;almoco;33;prato_principal;32.0
2023-01-18;frango_grelhado;jantar;23;prato_principal;32.0
2023-01-18;frango_grelhado;cafe_manha;29;prato_principal;32.0
2023-01-18;suco_laranja;almoco;94;bebida;8.0
2023-01-18;suco_laranja;jantar;63;bebida;8.0
2023-01-18;suco_laranja;cafe_manha;69;bebida;8.0
2023-01-18;sobremesa_dia;almoco;25;sobremesa;12.0
2023-01-18;sobremesa_dia;jantar;13;sobremesa;12.0
2023-01-18;sobremesa_dia;cafe_manha;20;sobremesa;12.0
2023-01-18;prato_vegetariano;almoco;12;prato_principal;28.0
2023-01-18;prato_vegetariano;jantar;21;prato_principal;28.0
2023-01-18;prato_vegetariano;cafe_manha;17;prato_principal;28.0
2023-01-19;prato_executivo;almoco;52;prato_principal;35.9
2023-01-19;prato_executivo;jantar;53;prato_principal;35.9
2023-01-19;prato_executivo;cafe_manha;37;prato_principal;35.9
2023-01-19;salada_caesar;almoco;10;entrada;18.5
2023-01-19;salada_caesar;cafe_manha;11;entrada;18.5
2023-01-19;frango_grelhado;almoco;35;prato_principal;32.0
2023-01-19;frango_grelhado;jantar;30;prato_principal;32.0
2023-01-19;frango_grelhado;cafe_manha;35;prato_principal;32.0
2023-01-19;suco_laranja;almoco;66;bebida;8.0
2023-01-19;suco_laranja;jantar;68;bebida;8.0
2023-01-19;suco_laranja;cafe_manha;45;bebida;8.0
2023-01-19;sobremesa_dia;almoco;32;sobremesa;12.0
2023-01-19;sobremesa_dia;jantar;19;sobremesa;12.0
2023-01-19;sobremesa_dia;cafe_manha;28;sobremesa;12.0
2023-01-19;prato_vegetariano;almoco;22;prato_principal;28.0
2023-01-19;prato_vegetariano;jantar;22;prato_principal;28.0
2023-01-19;prato_vegetariano;cafe_manha;15;prato_principal;28.0
2023-01-20;prato_executivo;almoco;62;prato_principal;35.9
2023-01-20;prato_executivo;jantar;75;prato_principal;35.9
2023-01-20;prato_executivo;cafe_manha;57;prato_principal;35.9
2023-01-20;salada_caesar;almoco;13;entrada;18.5
2023-01-20;salada_caesar;jantar;18;entrada;18.5
2023-01-20;salada_caesar;cafe_manha;17;entrada;18.5
2023-01-20;frango_grelhado;almoco;42;prato_principal;32.0
2023-01-20;frango_grelhado;jantar;56;prato_principal;32.0
2023-01-20;frango_grelhado;cafe_manha;39;prato_principal;32.0
2023-01-20;suco_laranja;almoco;103;bebida;8.0
2023-01-20;suco_laranja;jantar;97;bebida;8.0
2023-01-20;suco_laranja;cafe_manha;72;bebida;8.0
2023-01-20;sobremesa_dia;almoco;22;sobremesa;12.0
2023-01-20;sobremesa_dia;jantar;25;sobremesa;12.0
2023-01-20;sobremesa_dia;cafe_manha;18;sobremesa;12.0
2023-01-20;prato_vegetariano;almoco;26;prato_principal;28.0
2023-01-20;prato_vegetariano;jantar;30;prato_principal;28.0
2023-01-20;prato_vegetariano;cafe_manha;34;prato_principal;28.0
2023-01-21;prato_executivo;almoco;30;prato_principal;35.9
2023-01-21;prato_executivo;jantar;60;prato_principal;35.9
2023-01-21;prato_executivo;cafe_manha;38;prato_principal;35.9
2023-01-21;salada_caesar;almoco;6;entrada;18.5
2023-01-21;salada_caesar;jantar;20;entrada;18.5
2023-01-21;salada_caesar;cafe_manha;13;entrada;18.5
2023-01-21;frango_grelhado;almoco;18;prato_principal;32.0
2023-01-21;frango_grelhado;jantar;30;prato_principal;32.0
2023-01-21;frango_grelhado;cafe_manha;12;prato_principal;32.0
2023-01-21;suco_laranja;almoco;57;bebida;8.0
2023-01-21;suco_laranja;jantar;65;bebida;8.0
2023-01-21;suco_laranja;cafe_manha;70;bebida;8.0
2023-01-21;sobremesa_dia;almoco;16;sobremesa;12.0
2023-01-21;sobremesa_dia;jantar;30;sobremesa;12.0
2023-01-21;sobremesa_dia;cafe_manha;12;sobremesa;12.0
2023-01-21;prato_vegetariano;almoco;16;prato_principal;28.0
2023-01-21;prato_vegetariano;jantar;42;prato_principal;28.0
2023-01-21;prato_vegetariano;cafe_manha;14;prato_principal;28.0
2023-01-22;prato_executivo;almoco;34;prato_principal;35.9
2023-01-22;prato_executivo;jantar;30;prato_principal;35.9
2023-01-22;prato_executivo;cafe_manha;37;prato_principal;35.9
2023-01-22;salada_caesar;almoco;6;entrada;18.5
2023-01-22;salada_caesar;jantar;14;entrada;18.5
2023-01-22;salada_caesar;cafe_manha;5;entrada;18.5
2023-01-22;frango_grelhado;almoco;12;prato_principal;32.0
2023-01-22;frango_grelhado;jantar;11;prato_principal;32.0
2023-01-22;frango_grelhado;cafe_manha;24;prato_principal;32.0
2023-01-22;suco_laranja;almoco;39;bebida;8.0
2023-01-22;suco_laranja;jantar;36;bebida;8.0
2023-01-22;suco_laranja;cafe_manha;45;bebida;8.0
2023-01-22;sobremesa_dia;almoco;18;sobremesa;12.0
2023-01-22;sobremesa_dia;jantar;18;sobremesa;12.0
2023-01-22;sobremesa_dia;cafe_manha;13;sobremesa;12.0
2023-01-22;prato_vegetariano;almoco;10;prato_principal;28.0
2023-01-22;prato_vegetariano;jantar;13;prato_principal;28.0
2023-01-22;prato_vegetariano;cafe_manha;16;prato_principal;28.0
2023-01-23;prato_executivo;almoco;47;prato_principal;35.9
2023-01-23;prato_executivo;jantar;52;prato_principal;35.9
2023-01-23;prato_executivo;cafe_manha;52;prato_principal;35.9
2023-01-23;salada_caesar;almoco;14;entrada;18.5
2023-01-23;salada_caesar;jantar;15;entrada;18.5
2023-01-23;salada_caesar;cafe_manha;14;entrada;18.5
2023-01-23;frango_grelhado;almoco;30;prato_principal;32.0
2023-01-23;frango_grelhado;jantar;27;prato_principal;32.0
2023-01-23;frango_grelhado;cafe_manha;23;prato_principal;32.0
2023-01-23;suco_laranja;jantar;54;bebida;8.0
2023-01-23;suco_laranja;cafe_manha;51;bebida;8.0
2023-01-23;sobremesa_dia;almoco;15;sobremesa;12.0
2023-01-23;sobremesa_dia;jantar;16;sobremesa;12.0
2023-01-23;sobremesa_dia;cafe_manha;20;sobremesa;12.0
2023-01-23;prato_vegetariano;almoco;12;prato_principal;28.0
2023-01-23;prato_vegetariano;jantar;13;prato_principal;28.0
2023-01-23;prato_vegetariano;cafe_manha;9;prato_principal;28.0
2023-01-24;prato_executivo;almoco;65;prato_principal;35.9
2023-01-24;prato_executivo;jantar;52;prato_principal;35.9
2023-01-24;prato_executivo;cafe_manha;44;prato_principal;35.9
2023-01-24;salada_caesar;almoco;16;entrada;18.5
2023-01-24;salada_caesar;jantar;5;entrada;18.5
2023-01-24;salada_caesar;cafe_manha;9;entrada;18.5
2023-01-24;frango_grelhado;almoco;39;prato_principal;32.0
2023-01-24;frango_grelhado;jantar;33;prato_principal;32.0
2023-01-24;frango_grelhado;cafe_manha;27;prato_principal;32.0
2023-01-24;suco_laranja;almoco;77;bebida;8.0
2023-01-24;suco_laranja;jantar;60;bebida;8.0
2023-01-24;suco_laranja;cafe_manha;53;bebida;8.0
2023-01-24;sobremesa_dia;almoco;29;sobremesa;12.0
2023-01-24;sobremesa_dia;jantar;16;sobremesa;12.0
2023-01-24;sobremesa_dia;cafe_manha;30;sobremesa;12.0
2023-01-24;prato_vegetariano;almoco;21;prato_principal;28.0
2023-01-24;prato_vegetariano;jantar;17;prato_principal;28.0
2023-01-24;prato_vegetariano;cafe_manha;13;prato_principal;28.0
2023-01-25;prato_executivo;almoco;62;prato_principal;35.9
2023-01-25;prato_executivo;jantar;49;prato_principal;35.9
2023-01-25;prato_executivo;cafe_manha;46;prato_principal;35.9
2023-01-25;salada_caesar;almoco;21;entrada;18.5
2023-01-25;salada_caesar;jantar;14;entrada;18.5
2023-01-25;salada_caesar;cafe_manha;12;entrada;18.5
2023-01-25;frango_grelhado;almoco;24;prato_principal;32.0
2023-01-25;frango_grelhado;jantar;26;prato_principal;32.0
2023-01-25;frango_grelhado;cafe_manha;23;prato_principal;32.0
2023-01-25;suco_laranja;almoco;73;bebida;8.0
2023-01-25;suco_laranja;jantar;56;bebida;8.0
2023-01-25;suco_laranja;cafe_manha;47;bebida;8.0
2023-01-25;sobremesa_dia;almoco;19;sobremesa;12.0
2023-01-25;sobremesa_dia;jantar;16;sobremesa;12.0
2023-01-25;sobremesa_dia;cafe_manha;12;sobremesa;12.0
2023-01-25;prato_vegetariano;almoco;26;prato_principal;28.0
2023-01-25;prato_vegetariano;jantar;19;prato_principal;28.0
2023-01-25;prato_vegetariano;cafe_manha;18;prato_principal;28.0
2023-01-26;prato_executivo;almoco;56;prato_principal;35.9
2023-01-26;prato_executivo;jantar;54;prato_principal;35.9
2023-01-26;prato_executivo;cafe_manha;47;prato_principal;35.9
2023-01-26;salada_caesar;almoco;19;entrada;18.5
2023-01-26;salada_caesar;jantar;9;entrada;18.5
2023-01-26;salada_caesar;cafe_manha;22;entrada;18.5
2023-01-26;frango_grelhado;almoco;39;prato_principal;32.0
2023-01-26;frango_grelhado;jantar;23;prato_principal;32.0
2023-01-26;frango_grelhado;cafe_manha;29;prato_principal;32.0
2023-01-26;suco_laranja;almoco;73;bebida;8.0
2023-01-26;suco_laranja;jantar;59;bebida;8.0
2023-01-26;suco_laranja;cafe_manha;58;bebida;8.0
2023-01-26;sobremesa_dia;almoco;33;sobremesa;12.0
2023-01-26;sobremesa_dia;jantar;23;sobremesa;12.0
2023-01-26;sobremesa_dia;cafe_manha;23;sobremesa;12.0
2023-01-26;prato_vegetariano;almoco;17;prato_principal;28.0
2023-01-26;prato_vegetariano;jantar;22;prato_principal;28.0
